symbol,entry,exit,pnl,type
SPY,2025-05-14 14:06:00-04:00,2025-05-14 14:08:00-04:00,-0.0,SmartExit
SPY,2025-05-14 14:34:00-04:00,2025-05-14 14:45:00-04:00,-0.0,SmartExit
SPY,2025-05-15 10:43:00-04:00,2025-05-15 11:09:00-04:00,0.0,SmartExit
SPY,2025-05-15 12:05:00-04:00,2025-05-15 12:12:00-04:00,-0.0,SmartExit
SPY,2025-05-15 13:03:00-04:00,2025-05-15 13:15:00-04:00,-0.0,SmartExit
SPY,2025-05-15 13:21:00-04:00,2025-05-15 13:29:00-04:00,-0.0,SmartExit
SPY,2025-05-15 15:06:00-04:00,2025-05-15 15:11:00-04:00,-0.0,SmartExit
SPY,2025-05-15 15:50:00-04:00,2025-05-16 09:36:00-04:00,0.0,SmartExit
SPY,2025-05-16 10:18:00-04:00,2025-05-16 10:23:00-04:00,-0.0,SmartExit
SPY,2025-05-16 11:30:00-04:00,2025-05-16 11:39:00-04:00,0.0,SmartExit
SPY,2025-05-16 12:06:00-04:00,2025-05-16 12:19:00-04:00,0.0,SmartExit
SPY,2025-05-16 13:21:00-04:00,2025-05-16 13:22:00-04:00,0.0,SmartExit
SPY,2025-05-16 14:20:00-04:00,2025-05-16 14:25:00-04:00,-0.0,SmartExit
SPY,2025-05-16 14:31:00-04:00,2025-05-16 14:33:00-04:00,-0.0,SmartExit
SPY,2025-05-16 14:39:00-04:00,2025-05-16 14:48:00-04:00,0.0,SmartExit
SPY,2025-05-16 15:06:00-04:00,2025-05-16 15:14:00-04:00,-0.0,SmartExit
SPY,2025-05-16 15:49:00-04:00,2025-05-19 09:32:00-04:00,-0.0,SmartExit
SPY,2025-05-19 10:01:00-04:00,2025-05-19 10:11:00-04:00,0.0,SmartExit
SPY,2025-05-19 10:16:00-04:00,2025-05-19 10:19:00-04:00,-0.0,SmartExit
SPY,2025-05-19 11:03:00-04:00,2025-05-19 11:14:00-04:00,0.0,SmartExit
SPY,2025-05-19 11:38:00-04:00,2025-05-19 11:46:00-04:00,0.0,SmartExit
SPY,2025-05-19 12:14:00-04:00,2025-05-19 12:19:00-04:00,-0.0,SmartExit
SPY,2025-05-19 12:26:00-04:00,2025-05-19 12:31:00-04:00,-0.0,SmartExit
SPY,2025-05-19 12:52:00-04:00,2025-05-19 13:14:00-04:00,0.0,SmartExit
SPY,2025-05-19 15:01:00-04:00,2025-05-19 15:04:00-04:00,-0.0,SmartExit
SPY,2025-05-20 10:21:00-04:00,2025-05-20 10:24:00-04:00,-0.0,SmartExit
SPY,2025-05-20 10:38:00-04:00,2025-05-20 10:47:00-04:00,0.0,SmartExit
SPY,2025-05-20 11:28:00-04:00,2025-05-20 11:32:00-04:00,-0.0,SmartExit
SPY,2025-05-20 12:27:00-04:00,2025-05-20 12:49:00-04:00,0.0,SmartExit
SPY,2025-05-20 15:29:00-04:00,2025-05-20 15:37:00-04:00,0.0,SmartExit
SPY,2025-05-20 15:52:00-04:00,2025-05-21 09:34:00-04:00,-0.0,SmartExit
SPY,2025-05-21 10:01:00-04:00,2025-05-21 10:10:00-04:00,-0.0,SmartExit
AAPL,2025-05-02 11:39:00-04:00,2025-05-02 11:47:00-04:00,0.0,SmartExit
AAPL,2025-05-02 12:01:00-04:00,2025-05-02 12:12:00-04:00,-32.99999999999983,SmartExit
AAPL,2025-05-02 15:39:00-04:00,2025-05-02 15:41:00-04:00,-25.0,SmartExit
AAPL,2025-05-02 15:54:00-04:00,2025-05-05 09:32:00-04:00,-73.0000000000004,SmartExit
AAPL,2025-05-05 11:20:00-04:00,2025-05-05 11:26:00-04:00,-20.49999999999983,SmartExit
AAPL,2025-05-05 11:46:00-04:00,2025-05-05 11:49:00-04:00,-15.000000000000568,SmartExit
AAPL,2025-05-05 12:01:00-04:00,2025-05-05 12:10:00-04:00,0.0,SmartExit
AAPL,2025-05-05 13:06:00-04:00,2025-05-05 13:18:00-04:00,14.000000000000057,SmartExit
AAPL,2025-05-05 13:46:00-04:00,2025-05-05 13:54:00-04:00,-13.000000000000966,SmartExit
AAPL,2025-05-05 14:03:00-04:00,2025-05-05 14:18:00-04:00,10.500000000000398,SmartExit
AAPL,2025-05-05 14:57:00-04:00,2025-05-05 15:03:00-04:00,-31.000000000000227,SmartExit
AAPL,2025-05-06 09:31:00-04:00,2025-05-06 09:33:00-04:00,-35.99999999999994,SmartExit
AAPL,2025-05-06 10:09:00-04:00,2025-05-06 10:23:00-04:00,23.499999999999943,SmartExit
AAPL,2025-05-06 11:19:00-04:00,2025-05-06 11:27:00-04:00,12.5,SmartExit
